_className,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class
name,Alchemist,Barbarian,Bard,Champion,Cleric,Druid,Fighter,Monk,Ranger,Rogue,Sorcerer,Wizard
customSkills/0/ability,Intelligence,Strength,Charisma,Charisma,Wisdom,Wisdom,,,,,,Intelligence
customSkills/0/name,Alchemist Class DC,Barbarian Class DC,Bard Occult Spell DC,Champion Divine Spell DC,Cleric Divine Spell DC,Druid Primal Spell DC,Fighter Class DC,Monk Class DC,Ranger Class DC,Rogue Class DC,,Wizard Arcane Spell DC
customSkills/0/type,Class DC,Class DC,Spell DC,Spell DC,Spell DC,Spell DC,Class DC,Class DC,Class DC,Class DC,,Spell DC
customSkills/1/ability,,,,,,Wisdom,,,,,,
customSkills/1/name,Alchemical Bomb,,Longsword,Champion Class DC,,Druid Class DC,,,,Rapier,,Club
customSkills/1/type,Specific Weapon Proficiency,,Specific Weapon Proficiency,Class DC,,Class DC,,,,Specific Weapon Proficiency,,Specific Weapon Proficiency
customSkills/2/name,,,Rapier,,,,,,,Sap,,Crossbow
customSkills/2/type,,,Specific Weapon Proficiency,,,,,,,Specific Weapon Proficiency,,Specific Weapon Proficiency
customSkills/3/name,,,Sap,,,,,,,Shortbow,,Dagger
customSkills/3/type,,,Specific Weapon Proficiency,,,,,,,Specific Weapon Proficiency,,Specific Weapon Proficiency
customSkills/4/name,,,Shortbow,,,,,,,Shortsword,,Heavy Crossbow
customSkills/4/type,,,Specific Weapon Proficiency,,,,,,,Specific Weapon Proficiency,,Specific Weapon Proficiency
customSkills/5/name,,,Shortsword,,,,,,,,,Staff
customSkills/5/type,,,Specific Weapon Proficiency,,,,,,,,,Specific Weapon Proficiency
customSkills/6/name,,,Whip,,,,,,,,,
customSkills/6/type,,,Specific Weapon Proficiency,,,,,,,,,
desc/0/name,Description,Description,Description,Description,Description,Description,Description,Description,Description,Description,Description,Description
